N;RANDIC;FUNC_N;WEINER;RINGS;Y
12;5.464101615;0;174;1;2.269230769
6;2.560660172;0;28;0;2.076923077
8;3.25;0;58;0;1.961538462
12;5.464101615;0;174;1;2.307692308
3;1.45;0;4;0;1.307692308
15;6.675426481;1;318;1;3.115384615
4;1.914213562;0;10;0;2.115384615
47;24.63918141;3;8675;3;4.576923077
9;4;0;88;0;3.115384615
2;1;0;1;0;1.153846154
4;1.914213562;0;10;0;1.692307692
12;5.060660172;1;175;0;2.961538462
12;5.060660172;1;172;0;3.076923077
12;5.207106781;0;159;1;3.192307692
2;1;0;1;0;1.307692308
32;15.8495123;4;1350;1;4.307692308
5;2.27005561;1;18;0;2.461538462
8;3.481380475;2;63;0;2.923076923
3;1.45;0;4;0;1.615384615
2;1;0;1;0;1
14;6.962760951;1;352;0;3.038461538
4;1.914213562;0;10;0;1.884615385
3;1.45;0;4;0;1.538461538
31;13.5;2;2298;2;3.9
21;9.5;2;772;0;3.55
24;11.2;2;1108;3;3.81
34;18.1;2;3112;5;4.02
